date,steps
2023-01-01,8200
2023-01-02,10500
2023-01-03,7100
2023-01-04,9300
2023-01-05,5800
2023-01-06,11800
2023-01-07,7600
2023-01-08,8900
2023-01-09,10200
2023-01-10,5200
2023-01-11,11500
2023-01-12,8100
2023-01-13,9600
2023-01-14,6400
2023-01-15,12200
2023-01-16,8400
2023-01-17,7300
2023-01-18,10100
2023-01-19,5500
2023-01-20,11900
2023-01-21,8300
2023-01-22,9700
2023-01-23,6600
2023-01-24,12500
2023-01-25,8000
2023-01-26,9400
2023-01-27,5100
2023-01-28,10800
2023-01-29,6900
2023-01-30,9800
